%time,field.name0,field.name1,field.pose0.position.x,field.pose0.position.y,field.pose0.position.z,field.pose0.orientation.x,field.pose0.orientation.y,field.pose0.orientation.z,field.pose0.orientation.w,field.pose1.position.x,field.pose1.position.y,field.pose1.position.z,field.pose1.orientation.x,field.pose1.orientation.y,field.pose1.orientation.z,field.pose1.orientation.w,field.twist0.linear.x,field.twist0.linear.y,field.twist0.linear.z,field.twist0.angular.x,field.twist0.angular.y,field.twist0.angular.z,field.twist1.linear.x,field.twist1.linear.y,field.twist1.linear.z,field.twist1.angular.x,field.twist1.angular.y,field.twist1.angular.z
26907000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75702931031,9.01738362334,0.596719984345,-0.0194415463834,-0.080601599945,0.685395479302,0.723435170083,0.0,0.0,0.0,0.0,0.0,0.0,0.364970453658,2.11524455648,4.44670597514,-0.372006631849,0.157522467873,-0.00864207810144
26908000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75739388349,9.01950010081,0.601161599971,-0.0195192925406,-0.080416654529,0.685408826743,0.723441012879,0.0,0.0,0.0,0.0,0.0,0.0,0.364571584432,2.11647491378,4.44163600914,-0.367934584736,0.162479178047,-0.0084214141771
26909000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.757758073311,9.02161780313,0.605597913246,-0.0195938882678,-0.0802313293674,0.68542210927,0.723446988697,0.0,0.0,0.0,0.0,0.0,0.0,0.364188199861,2.11769978872,4.43633348751,-0.363881212592,0.167366150584,-0.00820581683919
26910000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.758121895643,9.02373672456,0.610028694532,-0.0196653653742,-0.0800456435535,0.685435325923,0.72345309615,0.0,0.0,0.0,0.0,0.0,0.0,0.363820686268,2.11891891678,4.43080133664,-0.359847568125,0.172181660472,-0.00799529243972
26911000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.758485366741,9.02585685907,0.614453717196,-0.019733756641,-0.0798596164311,0.685448475739,0.723459333771,0.0,0.0,0.0,0.0,0.0,0.0,0.363469426573,2.12013203019,4.42504256034,-0.35583471775,0.176923998946,-0.00778984969191
26912000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.758848503239,9.02797820039,0.618872757685,-0.0197990958275,-0.0796732675855,0.685461557748,0.723465700007,0.0,0.0,0.0,0.0,0.0,0.0,0.363134803474,2.12133885614,4.4190602396,-0.351843748783,0.181591460105,-0.00758950069302
26913000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.759211322158,9.03010074194,0.623285595615,-0.0198614176751,-0.0794866168369,0.685474570977,0.723472193229,0.0,0.0,0.0,0.0,0.0,0.0,0.36281719842,2.12253911813,4.41285754373,-0.347875764102,0.186182343912,-0.00739426088735
26914000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.759573840897,9.03222447688,0.627692013856,-0.0199207579212,-0.0792996842324,0.685487514447,0.723478811729,0.0,0.0,0.0,0.0,0.0,0.0,0.362516994889,2.12373253259,4.40643772494,-0.343931895909,0.190694942692,-0.00720415007461
26914000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.759936077245,9.03434939808,0.632091798624,-0.0199771533097,-0.0791124900423,0.685500387174,0.723485553726,0.0,0.0,0.0,0.0,0.0,0.0,0.362234578451,2.12491881055,4.39980412941,-0.340013299021,0.195127539988,-0.00701919241872
26916000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.760298049376,9.03647549809,0.636484739581,-0.0200306416098,-0.0789250547559,0.685513188166,0.723492417362,0.0,0.0,0.0,0.0,0.0,0.0,0.361970339201,2.12609765563,4.39296020337,-0.336121158999,0.199478400425,-0.00683941706348
26918000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.760659775868,9.03860276919,0.640870629944,-0.0200812616405,-0.0787373990796,0.685525916426,0.723499400709,0.0,0.0,0.0,0.0,0.0,0.0,0.361724674917,2.12726876209,4.38590950018,-0.332256700262,0.203745756887,-0.00666485879497
26918000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.761021275704,9.04073120332,0.645249266605,-0.0201290533053,-0.0785495439429,0.685538570949,0.723506501768,0.0,0.0,0.0,0.0,0.0,0.0,0.361497996855,2.12843181398,4.37865569531,-0.328421189392,0.207927787414,-0.00649555900781
26918000000,ocean_waves,wamv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.761382568301,9.04286079208,0.649620450266,-0.020174057638,-0.078361510506,0.685551150723,0.723513718468,0.0,0.0,0.0,0.0,0.0,0.0,0.361290734827,2.12958648192,4.37120259999,-0.324615948348,0.212022595262,-0.00633156659074
